region_name,district_name,cluster_name,village_name,cohort,cycle,household_id,quantity_per_household,seed,unit
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-KEN-M-170253-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-LEV-M-073928-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-MIC-M-172439-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-MOS-M-150653-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-MUK-M-065816-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-NIC-M-160834-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-OSW-M-171148-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-PAU-M-091936-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-PAU-M-193252-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-PHI-M-173147-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-RIC-M-155924-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-ROB-M-101852-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-STE-M-110250-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-SUN-M-183211-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-TAN-M-073928-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-VIC-M-192141-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-WIL-M-155306-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-WIL-M-070819-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-YOW-M-184137-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-YOW-M-181822-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-STE-M-133700-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-ASA-M-150349-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-NEL-M-145710-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-VIN-M-181326-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-CHR-M-064838-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-VIC-M-144721-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-ANN-F-140012-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-BET-F-152453-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-DIN-F-134600-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-DIN-F-074831-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-FLO-F-142822-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-HAR-F-183652-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JAN-F-184039-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JOV-F-081159-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JOY-F-070412-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-MAC-F-153235-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-MAG-F-163144-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-MON-F-150349-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-RES-F-155616-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-ROB-F-154619-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-ROS-F-181822-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-ANN-F-140012-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-BET-F-152453-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-DIN-F-134600-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-DIN-F-074831-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-FLO-F-142822-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-HAR-F-183652-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JAN-F-184039-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JOV-F-081159-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JOY-F-070412-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-MAC-F-153235-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-MAG-F-163144-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-MON-F-150349-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-RES-F-155616-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-ROB-F-154619-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-ROS-F-181822-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JUL-F-135152-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-INN-M-121423-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MAC-F-140743-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-LET-F-172835-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JUL-M-155904-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-BEN-M-153814-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-OLI-F-143810-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JOH-M-132007-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JUL-F-135152-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-INN-M-121423-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MAC-F-140743-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-LET-F-172835-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JUL-M-155904-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-BEN-M-153814-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-OLI-F-143810-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JOH-M-132007-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-IRE-F-104342-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-FAU-F-102319-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MID-F-104452-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MAB-F-151301-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-LEO-F-133654-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-HOP-F-091040-15,4.0,Beans,Kgs
